[2017-04-15 20:38:20,997] Making new env: Pong-v0
200 2 50 0.1 0.01
iter 310, mean_pop -0.64, cur_reward 1.00, aver_reward -0.23
iter 311, mean_pop -0.48, cur_reward -1.00, aver_reward -0.30
iter 312, mean_pop -0.44, cur_reward 1.00, aver_reward -0.17
iter 313, mean_pop -0.60, cur_reward -1.00, aver_reward -0.26
iter 314, mean_pop -0.80, cur_reward -1.00, aver_reward -0.33
iter 315, mean_pop -0.48, cur_reward 1.00, aver_reward -0.20
iter 316, mean_pop -0.44, cur_reward -1.00, aver_reward -0.28
iter 317, mean_pop -0.52, cur_reward -1.00, aver_reward -0.35
iter 318, mean_pop -0.56, cur_reward -1.00, aver_reward -0.42
iter 319, mean_pop -0.56, cur_reward -1.00, aver_reward -0.47
iter 320, mean_pop -0.68, cur_reward -1.00, aver_reward -0.53
iter 321, mean_pop -0.68, cur_reward -1.00, aver_reward -0.57
iter 322, mean_pop -0.52, cur_reward -1.00, aver_reward -0.62
iter 323, mean_pop -0.60, cur_reward -1.00, aver_reward -0.65
iter 324, mean_pop -0.76, cur_reward 1.00, aver_reward -0.49
iter 325, mean_pop -0.48, cur_reward -1.00, aver_reward -0.54
iter 326, mean_pop -0.32, cur_reward -1.00, aver_reward -0.59
iter 327, mean_pop -0.56, cur_reward -1.00, aver_reward -0.63
iter 328, mean_pop -0.48, cur_reward -1.00, aver_reward -0.66
iter 329, mean_pop -0.40, cur_reward -1.00, aver_reward -0.70
iter 330, mean_pop -0.36, cur_reward -1.00, aver_reward -0.73
iter 331, mean_pop -0.72, cur_reward 1.00, aver_reward -0.56
iter 332, mean_pop -0.48, cur_reward 1.00, aver_reward -0.40
iter 333, mean_pop -0.40, cur_reward -1.00, aver_reward -0.46
iter 334, mean_pop -0.48, cur_reward 1.00, aver_reward -0.31
iter 335, mean_pop -0.40, cur_reward 1.00, aver_reward -0.18
iter 336, mean_pop -0.68, cur_reward 1.00, aver_reward -0.06
iter 337, mean_pop -0.60, cur_reward -1.00, aver_reward -0.16
iter 338, mean_pop -0.52, cur_reward 1.00, aver_reward -0.04
iter 339, mean_pop -0.52, cur_reward -1.00, aver_reward -0.14
iter 340, mean_pop -0.48, cur_reward 1.00, aver_reward -0.02
iter 341, mean_pop -0.60, cur_reward -1.00, aver_reward -0.12
iter 342, mean_pop -0.52, cur_reward 1.00, aver_reward -0.01
iter 343, mean_pop -0.64, cur_reward -1.00, aver_reward -0.11
iter 344, mean_pop -0.48, cur_reward -1.00, aver_reward -0.20
iter 345, mean_pop -0.56, cur_reward 1.00, aver_reward -0.08
iter 346, mean_pop -0.56, cur_reward -1.00, aver_reward -0.17
iter 347, mean_pop -0.64, cur_reward -1.00, aver_reward -0.25
iter 348, mean_pop -0.52, cur_reward -1.00, aver_reward -0.33
iter 349, mean_pop -0.36, cur_reward 1.00, aver_reward -0.20
iter 350, mean_pop -0.56, cur_reward 1.00, aver_reward -0.08
iter 351, mean_pop -0.16, cur_reward -1.00, aver_reward -0.17
iter 352, mean_pop -0.36, cur_reward -1.00, aver_reward -0.25
